Results Table 1,,,,,,,,,,,,,
,Specimen label,Thickness,Width,Length,Rate 1,,,,,,,,
,,(mm),(mm),(mm),(mm/min),,,,,,,,
1,HDPE-1,3.3,12.83,100,25.4,,,,,,,,
2,HDPE-5,3.3,12.83,83.44,127,,,,,,,,
3,HDPE-20,3.3,12.73,91.19,508,,,,,,,,
,,,,,,,,,,,,,
Results Table 2,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
1,Time,Displacement,Force,,2,Time,Displacement,Force,,3,Time,Displacement,Force
,(s),(mm),(kN),,,(s),(mm),(kN),,,(s),(mm),(kN)
,5.813,2.433,0.8464,,,1.868,3.8426,1.2754,,,0.569,4.3919,1.3669
,5.913,2.4748,0.8524,,,1.968,4.0542,1.2911,,,0.607,4.7137,1.3869
,6.013,2.5174,0.8584,,,2.068,4.2656,1.3042,,,0.656,5.1281,1.407
,6.113,2.5591,0.8634,,,2.168,4.4773,1.3165,,,0.725,5.7125,1.427
,6.213,2.6014,0.8689,,,2.268,4.6891,1.3271,,,0.825,6.5594,1.4408
,6.313,2.644,0.8742,,,2.368,4.9008,1.3357,,,0.925,7.406,1.4422
,6.413,2.6858,0.8795,,,2.468,5.1122,1.3431,,,1.025,8.2525,1.4329
,6.513,2.7291,0.8856,,,2.568,5.3238,1.3497,,,1.121,9.0652,1.4126
,6.613,2.7709,0.8905,,,2.668,5.5361,1.3552,,,1.177,9.5395,1.3925
,6.713,2.8139,0.896,,,2.768,5.7471,1.3596,,,1.216,9.8699,1.3724
,6.813,2.8556,0.8999,,,2.868,5.9588,1.3632,,,1.246,10.1239,1.3518
,6.913,2.8978,0.9049,,,2.968,6.1708,1.3657,,,1.27,10.327,1.3313
,7.013,2.9405,0.9098,,,3.068,6.3823,1.3679,,,1.29,10.4963,1.3109
,7.113,2.9824,0.9145,,,3.168,6.594,1.3693,,,1.308,10.6487,1.2905
,7.213,3.0254,0.9196,,,3.268,6.8056,1.3695,,,1.324,10.7842,1.2704
,7.313,3.0673,0.9236,,,3.368,7.0172,1.3699,,,1.34,10.9197,1.2498
,7.413,3.1101,0.928,,,3.468,7.2292,1.3695,,,1.356,11.0552,1.229
,7.513,3.1518,0.9321,,,3.568,7.4407,1.3681,,,1.372,11.1907,1.2089
,7.613,3.1947,0.9369,,,3.668,7.6519,1.366,,,1.389,11.3346,1.1889
,7.713,3.2365,0.9408,,,3.768,7.8647,1.363,,,1.408,11.4954,1.1683
,7.813,3.2789,0.9451,,,3.868,8.0756,1.3572,,,1.429,11.6733,1.148
,7.913,3.3214,0.9487,,,3.968,8.2869,1.3473,,,1.452,11.868,1.1279
,8.013,3.3632,0.9522,,,4.04,8.4401,1.327,,,1.478,12.088,1.1076
,8.113,3.4065,0.9564,,,4.073,8.5099,1.3064,,,1.506,12.3251,1.0876
,8.213,3.4481,0.96,,,4.094,8.5542,1.2859,,,1.536,12.5791,1.067
,8.313,3.491,0.9644,,,4.112,8.5922,1.265,,,1.565,12.8245,1.047
,8.413,3.5329,0.9678,,,4.129,8.6282,1.2444,,,1.593,13.0616,1.0265
,8.513,3.5755,0.9713,,,4.146,8.6642,1.2242,,,1.619,13.2817,1.006
,8.613,3.6178,0.9742,,,4.164,8.7024,1.2032,,,1.643,13.4851,0.9856
,8.713,3.6599,0.9776,,,4.181,8.7384,1.1831,,,1.666,13.6799,0.9647
,8.813,3.7025,0.9811,,,4.198,8.7744,1.1624,,,1.689,13.8747,0.9441
,8.913,3.7444,0.9846,,,4.215,8.8103,1.1416,,,1.712,14.0694,0.9241
,9.013,3.7874,0.9884,,,4.232,8.846,1.1207,,,1.738,14.2896,0.9034
,9.113,3.8293,0.9907,,,4.248,8.8796,1.1,,,1.767,14.535,0.8829
,9.213,3.872,0.9938,,,4.263,8.9113,1.0799,,,1.798,14.7973,0.8629
,9.313,3.914,0.9967,,,4.278,8.9432,1.0596,,,1.833,15.0937,0.8424
,9.413,3.9561,0.9997,,,4.293,8.9752,1.0391,,,1.87,15.4071,0.822
,9.513,3.9988,1.0031,,,4.308,9.0072,1.0184,,,1.911,15.754,0.8019
,9.613,4.0404,1.0053,,,4.323,9.0391,0.9976,,,1.958,16.1518,0.7819
,9.713,4.0836,1.0084,,,4.338,9.0709,0.9774,,,2.013,16.6177,0.7616
,9.813,4.1254,1.011,,,4.354,9.1047,0.9567,,,2.07,17.1004,0.7413
,9.913,4.1686,1.0144,,,4.371,9.1406,0.9362,,,2.12,17.5236,0.7212
,10.013,4.2105,1.0167,,,4.389,9.1787,0.9161,,,2.128,17.5913,0.6978
,10.113,4.2529,1.0196,,,4.409,9.221,0.8953,,,2.131,17.6167,0.6673
,10.213,4.2951,1.0219,,,4.43,9.2654,0.8751,,,2.133,17.6337,0.641
,10.313,4.3369,1.0237,,,4.453,9.3141,0.8546,,,2.135,17.6506,0.6107
