Results Table 1,,,,,,,,,,,,,
,Specimen label,Thickness,Width,Length,Rate 1,,,,,,,,
,,(mm),(mm),(mm),(mm/min),,,,,,,,
1,pc-1,3.1,12.75,93.95,25.4,,,,,,,,
2,pc-5,3.07,12.75,91.95,127,,,,,,,,
3,pc-20,3.07,12.7,89.1,508,,,,,,,,
,,,,,,,,,,,,,
Results Table 2,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
1,Time,Displacement,Force,,2,Time,Displacement,Force,,3,Time,Displacement,Force
,(s),(mm),(kN),,,(s),(mm),(kN),,,(s),(mm),(kN)
,3.658,1.5223,1.2631,,,0.831,1.6493,1.3097,,,0.244,1.6429,1.4057
,3.727,1.5521,1.2832,,,0.846,1.6811,1.3302,,,0.248,1.6768,1.4287
,3.799,1.582,1.3033,,,0.861,1.7128,1.3508,,,0.252,1.7105,1.4515
,3.871,1.6122,1.3235,,,0.876,1.7444,1.3713,,,0.256,1.7441,1.474
,3.94,1.6423,1.3436,,,0.892,1.7781,1.3925,,,0.26,1.7776,1.4962
,4.013,1.6725,1.3637,,,0.908,1.8118,1.4138,,,0.264,1.8111,1.5181
,4.086,1.7032,1.3838,,,0.923,1.8435,1.4339,,,0.268,1.8445,1.5398
,4.158,1.7347,1.404,,,0.939,1.8775,1.4549,,,0.272,1.878,1.5611
,4.233,1.7658,1.424,,,0.955,1.9114,1.4757,,,0.276,1.9114,1.5823
,4.308,1.7972,1.4442,,,0.971,1.9454,1.4965,,,0.28,1.9449,1.6032
,4.382,1.8295,1.4644,,,0.987,1.9792,1.5168,,,0.284,1.9783,1.624
,4.459,1.8615,1.4845,,,1.004,2.015,1.538,,,0.288,2.0119,1.6446
,4.538,1.8944,1.5045,,,1.02,2.0486,1.5581,,,0.292,2.0454,1.665
,4.613,1.9271,1.5246,,,1.037,2.0843,1.5793,,,0.296,2.079,1.6853
,4.695,1.9612,1.5447,,,1.054,2.1203,1.6001,,,0.3,2.1127,1.7053
,4.774,1.9942,1.5647,,,1.071,2.1564,1.621,,,0.305,2.1548,1.7302
