Results Table 1,,,,,,,,,,,,,
,Specimen label,Thickness,Width,Length,Rate 1,,,,,,,,
,,(mm),(mm),(mm),(mm/min),,,,,,,,
1,LDPE-1,3.25,14.73,90.8,25.4,,,,,,,,
2,LDPE-5,3.25,14.73,87.88,127,,,,,,,,
3,LDPE-20,3.25,14.73,82.35,508,,,,,,,,
,,,,,,,,,,,,,
Results Table 2,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
1,Time,Displacement,Force,,2,Time,Displacement,Force,,3,Time,Displacement,Force
,(s),(mm),(kN),,,(s),(mm),(kN),,,(s),(mm),(kN)
,0,0,-0.0088,,,0,0,-0.0072,,,0,0,-0.0055
,6.2,2.5965,0.292,,,5.728,12.0114,0.5217,,,4.386,36.7114,0.5042
,6.3,2.6392,0.295,,,5.828,12.2234,0.5214,,,4.486,37.5579,0.5031
,6.4,2.6814,0.2974,,,5.928,12.4344,0.5211,,,4.586,38.4046,0.5023
,6.5,2.7235,0.3,,,6.028,12.6462,0.5206,,,4.686,39.2514,0.5008
,6.6,2.7662,0.3028,,,6.128,12.8587,0.5207,,,4.786,40.0979,0.5001
,6.7,2.808,0.3058,,,6.228,13.0696,0.5201,,,4.886,40.9447,0.499
,6.8,2.8513,0.3082,,,6.328,13.2809,0.5199,,,4.986,41.7913,0.4978
,6.9,2.8931,0.3107,,,6.428,13.4935,0.5192,,,5.086,42.6381,0.4965
,7,2.9357,0.3132,,,6.528,13.7047,0.5186,,,5.186,43.4847,0.4951
,7.1,2.9776,0.3156,,,6.628,13.9162,0.5184,,,5.286,44.3312,0.4937
,7.2,3.0198,0.3184,,,6.728,14.1283,0.5175,,,5.386,45.1783,0.4921
,7.3,3.0626,0.3204,,,6.828,14.3396,0.5169,,,5.486,46.0247,0.4907
,7.4,3.1044,0.323,,,6.928,14.5515,0.5165,,,5.586,46.8712,0.4882
,7.5,3.1476,0.3256,,,7.028,14.7631,0.5158,,,5.686,47.7181,0.4863
,7.6,3.1892,0.3277,,,7.128,14.9745,0.5152,,,5.786,48.5648,0.4839
,7.7,3.2324,0.3301,,,7.228,15.1866,0.5147,,,5.886,49.4114,0.4816
,7.8,3.2741,0.332,,,7.328,15.3982,0.5141,,,5.986,50.2582,0.4784
,7.9,3.3166,0.3347,,,7.428,15.6095,0.5134,,,6.086,51.1046,0.4751
,8,3.3588,0.3366,,,7.528,15.8216,0.5128,,,6.186,51.9513,0.4713
,8.1,3.4006,0.3389,,,7.628,16.0331,0.512,,,6.286,52.7982,0.4669
,8.2,3.4437,0.3413,,,7.728,16.2444,0.5113,,,6.386,53.6446,0.4614
,8.3,3.4853,0.3429,,,7.828,16.4565,0.5106,,,6.486,54.4913,0.4551
,8.4,3.5285,0.3454,,,7.928,16.668,0.51,,,6.586,55.3379,0.4482
,8.5,3.5702,0.3473,,,8.028,16.8798,0.5094,,,6.686,56.1848,0.4395
,8.6,3.6131,0.3495,,,8.128,17.0915,0.5085,,,6.786,57.0314,0.4311
,8.7,3.6553,0.3515,,,8.228,17.3028,0.5078,,,6.886,57.8778,0.4229
,8.8,3.6973,0.3532,,,8.328,17.515,0.5073,,,6.986,58.7248,0.4167
,8.9,3.7397,0.3553,,,8.428,17.7266,0.5065,,,7.086,59.5714,0.4128
,9,3.7817,0.357,,,8.528,17.9376,0.5059,,,7.186,60.4181,0.411
,9.1,3.8248,0.3592,,,8.628,18.1498,0.5052,,,7.286,61.2648,0.4099
,9.2,3.8667,0.3609,,,8.728,18.362,0.5047,,,7.386,62.1111,0.41
,9.3,3.9097,0.3625,,,8.828,18.5727,0.5038,,,7.486,62.9581,0.4103
,9.4,3.9516,0.3645,,,8.928,18.7845,0.5031,,,7.586,63.8049,0.4109
,9.5,3.9937,0.3663,,,9.028,18.9966,0.5026,,,7.686,64.6512,0.4115
,9.6,4.0361,0.3679,,,9.128,19.2081,0.5019,,,7.786,65.498,0.4121
,9.7,4.0779,0.3697,,,9.228,19.4198,0.5013,,,7.886,66.3446,0.4125
,9.8,4.1208,0.3715,,,9.328,19.6313,0.5005,,,7.986,67.1915,0.4128
,9.9,4.1625,0.3731,,,9.428,19.843,0.5,,,8.086,68.038,0.4135
,10,4.206,0.3749,,,9.528,20.055,0.4994,,,8.186,68.8846,0.4142
