Results Table 1,,,,,,,,,,,,,
,Specimen label,Thickness,Width,Length,Rate 1,,,,,,,,
,,(mm),(mm),(mm),(mm/min),,,,,,,,
1,LDPE-1,3.25,14.73,90.8,25.4,,,,,,,,
2,LDPE-5,3.25,14.73,87.88,127,,,,,,,,
3,LDPE-20,3.25,14.73,82.35,508,,,,,,,,
,,,,,,,,,,,,,
Results Table 2,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
1,Time,Displacement,Force,,2,Time,Displacement,Force,,3,Time,Displacement,Force
,(s),(mm),(kN),,,(s),(mm),(kN),,,(s),(mm),(kN)
,0,0,-0.0088,,,0,0,-0.0072,,,0,0,-0.0055
,27.1,11.4444,0.4712,,,26.628,56.2492,0.4576,,,,,
,27.2,11.4869,0.4713,,,26.728,56.4617,0.4574,,,,,
,27.3,11.5288,0.4711,,,26.828,56.6733,0.457,,,,,
,27.4,11.5717,0.4711,,,26.928,56.8844,0.4566,,,,,
,27.5,11.6134,0.4713,,,27.028,57.0965,0.4562,,,,,
,27.6,11.6567,0.4712,,,27.128,57.3082,0.4555,,,,,
,27.7,11.6984,0.4712,,,27.228,57.5198,0.4552,,,,,
,27.8,11.7409,0.4715,,,27.328,57.7315,0.4548,,,,,
,27.9,11.7833,0.4713,,,27.428,57.9431,0.4542,,,,,
,28,11.825,0.4715,,,27.528,58.1547,0.4537,,,,,
,28.1,11.868,0.4714,,,27.628,58.3666,0.4532,,,,,
,28.2,11.9095,0.4712,,,27.728,58.5777,0.4525,,,,,
,28.3,11.9526,0.4714,,,27.828,58.7898,0.4521,,,,,
,28.4,11.9945,0.4715,,,27.928,59.0016,0.4517,,,,,
,28.5,12.0377,0.4715,,,28.028,59.2128,0.4509,,,,,
,28.6,12.0796,0.4715,,,28.128,59.4247,0.4506,,,,,
,28.7,12.1219,0.4715,,,28.228,59.6365,0.4501,,,,,
,28.8,12.164,0.4713,,,28.328,59.8479,0.4493,,,,,
,28.9,12.206,0.4711,,,28.428,60.0597,0.4489,,,,,
,29,12.2491,0.4716,,,28.528,60.2715,0.4481,,,,,
,29.1,12.2908,0.4712,,,28.628,60.4831,0.4476,,,,,
,29.2,12.334,0.4714,,,28.728,60.6951,0.4468,,,,,
,29.3,12.3759,0.4714,,,28.828,60.906,0.4463,,,,,
,29.4,12.4183,0.4712,,,28.928,61.1179,0.4453,,,,,
,29.5,12.4604,0.4713,,,29.028,61.3303,0.4448,,,,,
,29.6,12.5024,0.4711,,,29.128,61.5412,0.4441,,,,,
,29.7,12.5451,0.4712,,,29.228,61.7527,0.4431,,,,,
,29.8,12.5869,0.4714,,,29.328,61.9652,0.4428,,,,,
,29.9,12.6303,0.4712,,,29.428,62.1763,0.442,,,,,
,30,12.6722,0.4711,,,29.528,62.3879,0.4411,,,,,
,30.1,12.7149,0.4712,,,29.628,62.5998,0.4403,,,,,
,30.2,12.7567,0.4708,,,29.728,62.8115,0.4394,,,,,
,30.3,12.799,0.4712,,,29.828,63.0231,0.4386,,,,,
,30.4,12.8414,0.4708,,,29.928,63.2346,0.4375,,,,,
,30.5,12.8834,0.471,,,30.028,63.4464,0.4366,,,,,
,30.6,12.9264,0.4709,,,30.128,63.6585,0.4356,,,,,
,30.7,12.9681,0.4707,,,30.228,63.8695,0.4348,,,,,
,30.8,13.0114,0.4712,,,30.328,64.0812,0.4334,,,,,
,30.9,13.0531,0.4708,,,30.428,64.2935,0.4327,,,,,
,31,13.0954,0.4707,,,30.528,64.5046,0.4315,,,,,
,31.1,13.1377,0.4706,,,30.628,64.7162,0.4304,,,,,
,31.2,13.1797,0.4707,,,30.728,64.9283,0.4293,,,,,
,31.3,13.2226,0.471,,,30.828,65.1397,0.4278,,,,,
,31.4,13.2646,0.4704,,,30.928,65.3513,0.4269,,,,,
,31.5,13.3074,0.4706,,,31.028,65.5631,0.4257,,,,,
,31.6,13.3494,0.4705,,,31.128,65.7745,0.4243,,,,,
,31.7,13.3922,0.4703,,,31.228,65.9867,0.423,,,,,
,31.8,13.4342,0.4703,,,31.328,66.1982,0.4217,,,,,
,31.9,13.4763,0.4703,,,31.428,66.4093,0.4201,,,,,
,32,13.519,0.4705,,,31.528,66.6216,0.4189,,,,,
,32.1,13.5605,0.4701,,,31.628,66.8332,0.4175,,,,,
,32.2,13.6038,0.47,,,31.728,67.0445,0.4159,,,,,
,32.3,13.6455,0.4703,,,31.828,67.2564,0.4147,,,,,
,32.4,13.6885,0.4701,,,31.928,67.4683,0.4131,,,,,
,32.5,13.7302,0.47,,,32.028,67.6797,0.4117,,,,,
,32.6,13.7729,0.4701,,,32.128,67.8914,0.4105,,,,,
,32.7,13.8151,0.4699,,,32.228,68.1029,0.4091,,,,,
,32.8,13.8572,0.4701,,,32.328,68.3148,0.4077,,,,,
,32.9,13.8999,0.4696,,,32.428,68.5266,0.4067,,,,,
,33,13.9417,0.4697,,,32.528,68.7378,0.4055,,,,,
,33.1,13.9849,0.4698,,,32.628,68.9498,0.4044,,,,,
,33.2,14.0268,0.4694,,,32.728,69.1618,0.4036,,,,,
,33.3,14.0697,0.4696,,,32.828,69.3726,0.4023,,,,,
,33.4,14.1115,0.4693,,,32.928,69.5847,0.4016,,,,,
,33.5,14.1537,0.4692,,,33.028,69.7967,0.4011,,,,,
,33.6,14.1961,0.4693,,,33.128,70.008,0.4003,,,,,
,33.7,14.2378,0.4689,,,33.228,70.2198,0.3998,,,,,
,33.8,14.281,0.4692,,,33.328,70.4313,0.3993,,,,,
,33.9,14.3227,0.469,,,33.428,70.643,0.3989,,,,,
,34,14.3659,0.4689,,,33.528,70.8549,0.3985,,,,,
,34.1,14.4079,0.4691,,,33.628,71.0662,0.3981,,,,,
,34.2,14.4503,0.4689,,,33.728,71.2779,0.3979,,,,,
,34.3,14.4924,0.4687,,,33.828,71.4902,0.3976,,,,,
,34.4,14.5344,0.4686,,,33.928,71.7012,0.3975,,,,,
,34.5,14.5773,0.4685,,,34.028,71.9128,0.3972,,,,,
,34.6,14.6191,0.4686,,,34.128,72.1252,0.3972,,,,,
,34.7,14.6623,0.4686,,,34.228,72.3364,0.3975,,,,,
,34.8,14.7041,0.4683,,,34.328,72.5479,0.3973,,,,,
,34.9,14.7468,0.4685,,,34.428,72.7599,0.3972,,,,,
,35,14.7889,0.4681,,,34.528,72.9716,0.3975,,,,,
,35.1,14.8309,0.4682,,,34.628,73.1831,0.3975,,,,,
,35.2,14.8735,0.468,,,34.728,73.3945,0.3974,,,,,
,35.3,14.915,0.468,,,34.828,73.6064,0.3975,,,,,
,35.4,14.9585,0.4678,,,34.928,73.8184,0.3978,,,,,
,35.5,15.0003,0.4677,,,35.028,74.0295,0.3979,,,,,
,35.6,15.0434,0.4678,,,35.128,74.2411,0.3978,,,,,
,35.7,15.0847,0.4674,,,35.228,74.4535,0.3982,,,,,
,35.8,15.1276,0.4676,,,35.328,74.6647,0.3983,,,,,
,35.9,15.1697,0.4673,,,35.428,74.8762,0.3984,,,,,
,36,15.2119,0.4673,,,35.528,75.0883,0.3985,,,,,
,36.1,15.2547,0.4676,,,35.628,75.2997,0.399,,,,,
,36.2,15.2966,0.467,,,35.728,75.5114,0.3989,,,,,
,36.3,15.3396,0.4672,,,35.828,75.7233,0.3992,,,,,
,36.4,15.3814,0.4669,,,35.928,75.9346,0.3993,,,,,
,36.5,15.424,0.4669,,,36.028,76.1465,0.3994,,,,,
,36.6,15.466,0.467,,,36.128,76.3582,0.3993,,,,,
,36.7,15.5082,0.4666,,,36.228,76.5695,0.3995,,,,,
,36.8,15.5509,0.4668,,,36.328,76.7815,0.4,,,,,
,36.9,15.5927,0.4663,,,36.428,76.9933,0.4,,,,,
,37,15.6358,0.4663,,,36.528,77.2044,0.3999,,,,,
,37.1,15.6774,0.4661,,,36.628,77.4166,0.4,,,,,
,37.2,15.7204,0.4661,,,36.728,77.6281,0.4002,,,,,
,37.3,15.7625,0.4661,,,36.828,77.8397,0.4005,,,,,
,37.4,15.8051,0.4661,,,36.928,78.0514,0.4004,,,,,
,37.5,15.8472,0.4659,,,37.028,78.2629,0.4005,,,,,
,37.6,15.8891,0.4659,,,37.128,78.4751,0.4008,,,,,
,37.7,15.932,0.4655,,,37.228,78.6866,0.4009,,,,,
,37.8,15.9737,0.4657,,,37.328,78.8976,0.4011,,,,,
,37.9,16.0168,0.4654,,,37.428,79.1098,0.4012,,,,,
,38,16.0585,0.4652,,,37.528,79.3219,0.4013,,,,,
,38.1,16.1015,0.4656,,,37.628,79.5327,0.4012,,,,,
,38.2,16.1435,0.4651,,,37.728,79.7447,0.4014,,,,,
,38.3,16.1857,0.4653,,,37.828,79.9567,0.4015,,,,,
,38.4,16.2282,0.4649,,,37.928,80.1679,0.4017,,,,,
,38.5,16.2698,0.4648,,,38.028,80.3796,0.4016,,,,,
,38.6,16.313,0.4649,,,38.128,80.5913,0.4016,,,,,
,38.7,16.355,0.4644,,,38.228,80.8029,0.4018,,,,,
,38.8,16.3983,0.4649,,,38.328,81.015,0.4022,,,,,
,38.9,16.4397,0.4643,,,38.428,81.2262,0.4023,,,,,
,39,16.4824,0.4645,,,38.528,81.4379,0.4023,,,,,
,39.1,16.5244,0.4644,,,38.628,81.6502,0.4023,,,,,
,39.2,16.5663,0.4641,,,38.728,81.8612,0.4023,,,,,
,39.3,16.6092,0.4643,,,38.828,82.073,0.4023,,,,,
,39.4,16.651,0.464,,,38.928,82.2851,0.4027,,,,,
,39.5,16.6942,0.4637,,,39.028,82.4965,0.4026,,,,,
,39.6,16.7362,0.4639,,,39.128,82.7079,0.4025,,,,,
,39.7,16.7788,0.4635,,,39.228,82.9199,0.4029,,,,,
,39.8,16.8207,0.4637,,,39.328,83.1315,0.403,,,,,
,39.9,16.8628,0.4635,,,39.428,83.3429,0.4031,,,,,
,40,16.9055,0.4635,,,39.528,83.5546,0.4029,,,,,
,40.1,16.9473,0.4631,,,39.628,83.7663,0.4032,,,,,
,40.2,16.9907,0.4631,,,39.728,83.9786,0.4034,,,,,
,40.3,17.0322,0.4631,,,39.828,84.1895,0.4034,,,,,
,40.4,17.0754,0.4632,,,39.928,84.401,0.4034,,,,,
,40.5,17.117,0.4628,,,40.028,84.6136,0.4035,,,,,
,40.6,17.1595,0.4627,,,40.128,84.8248,0.4033,,,,,
,40.7,17.2017,0.4625,,,40.228,85.0361,0.4036,,,,,
,40.8,17.2438,0.4627,,,40.328,85.2484,0.4039,,,,,
,40.9,17.2865,0.4623,,,40.428,85.4597,0.4038,,,,,
,41,17.3286,0.4625,,,40.528,85.6715,0.4038,,,,,
,41.1,17.3717,0.4624,,,40.628,85.883,0.4038,,,,,
,41.2,17.4131,0.462,,,40.728,86.0946,0.4039,,,,,
,41.3,17.456,0.4622,,,40.828,86.3065,0.4044,,,,,
,41.4,17.4982,0.462,,,40.928,86.5182,0.4043,,,,,
,41.5,17.5404,0.4619,,,41.028,86.7295,0.4045,,,,,
,41.6,17.5831,0.4617,,,41.128,86.9416,0.4044,,,,,
,41.7,17.6247,0.4616,,,41.228,87.1531,0.4046,,,,,
,41.8,17.6677,0.4619,,,41.328,87.3646,0.4047,,,,,
,41.9,17.7095,0.4613,,,41.428,87.5766,0.4048,,,,,
,42,17.7526,0.4616,,,41.528,87.7882,0.4048,,,,,
,42.1,17.7944,0.4613,,,41.628,87.9997,0.4048,,,,,
,42.2,17.8367,0.461,,,41.728,88.2114,0.4049,,,,,
,42.3,17.8793,0.4611,,,41.828,88.4229,0.4053,,,,,
,42.4,17.9211,0.4607,,,41.928,88.6349,0.4052,,,,,
,42.5,17.964,0.4609,,,42.028,88.8466,0.4054,,,,,
,42.6,18.0056,0.4604,,,42.128,89.0575,0.4057,,,,,
,42.7,18.0488,0.4601,,,42.228,89.2701,0.4056,,,,,
,42.8,18.0907,0.4606,,,42.328,89.4818,0.4057,,,,,
,42.9,18.1336,0.4603,,,42.428,89.6926,0.4059,,,,,
,43,18.1757,0.4604,,,42.528,89.9047,0.4059,,,,,
,43.1,18.2176,0.46,,,42.628,90.1169,0.4059,,,,,
,43.2,18.2602,0.4599,,,42.728,90.328,0.4059,,,,,
,43.3,18.3019,0.4599,,,42.828,90.5396,0.4061,,,,,
,43.4,18.345,0.4597,,,42.928,90.7515,0.4062,,,,,
,43.5,18.3868,0.4597,,,43.028,90.9631,0.4062,,,,,
,43.6,18.4298,0.4593,,,43.128,91.1749,0.4063,,,,,
,43.7,18.4718,0.4593,,,43.228,91.3862,0.4063,,,,,
,43.8,18.5142,0.4593,,,43.328,91.5979,0.4063,,,,,
,43.9,18.5563,0.4588,,,43.428,91.81,0.4063,,,,,
,44,18.5983,0.4591,,,43.528,92.0212,0.4063,,,,,
,44.1,18.6412,0.4589,,,43.628,92.2329,0.4064,,,,,
,44.2,18.6831,0.4585,,,43.728,92.4453,0.4068,,,,,
,44.3,18.7264,0.459,,,43.828,92.6563,0.4066,,,,,
,44.4,18.7681,0.4584,,,43.928,92.8679,0.4066,,,,,
,44.5,18.8109,0.4584,,,44.028,93.0799,0.4068,,,,,
,44.6,18.8528,0.4582,,,44.128,93.2914,0.4067,,,,,
,44.7,18.8949,0.4582,,,44.228,93.5032,0.4068,,,,,
,44.8,18.9375,0.4581,,,44.328,93.7147,0.407,,,,,
,44.9,18.9794,0.4579,,,44.428,93.9263,0.4068,,,,,
,45,19.0222,0.4582,,,44.528,94.1385,0.4069,,,,,
,45.1,19.0644,0.4575,,,44.628,94.3495,0.4067,,,,,
,45.2,19.1074,0.4579,,,44.728,94.561,0.407,,,,,
,45.3,19.149,0.4577,,,44.828,94.7737,0.4071,,,,,
,45.4,19.191,0.4574,,,44.928,94.9848,0.4071,,,,,
,45.5,19.2338,0.4578,,,45.028,95.196,0.4073,,,,,
,45.6,19.2756,0.4571,,,45.128,95.4083,0.4071,,,,,
,45.7,19.3188,0.4573,,,45.228,95.6198,0.4073,,,,,
,45.8,19.3607,0.4572,,,45.328,95.8312,0.4072,,,,,
,45.9,19.4039,0.4568,,,45.428,96.0432,0.4073,,,,,
,46,19.4452,0.457,,,45.528,96.2547,0.4074,,,,,
,46.1,19.4881,0.4567,,,45.628,96.4668,0.4075,,,,,
,46.2,19.53,0.4568,,,45.728,96.6779,0.4077,,,,,
,46.3,19.5721,0.4566,,,45.828,96.8895,0.4076,,,,,
,46.4,19.6148,0.4566,,,45.928,97.1017,0.4078,,,,,
,46.5,19.6568,0.4564,,,46.028,97.3132,0.4078,,,,,
,46.6,19.6999,0.4563,,,46.128,97.5246,0.4078,,,,,
,46.7,19.7415,0.4563,,,46.228,97.7367,0.408,,,,,
,46.8,19.7842,0.4561,,,46.328,97.948,0.4078,,,,,
,46.9,19.8265,0.4559,,,46.428,98.1596,0.4079,,,,,
,47,19.8688,0.4562,,,46.528,98.3714,0.408,,,,,
,47.1,19.9112,0.4558,,,46.628,98.5829,0.4081,,,,,
,47.2,19.9531,0.4557,,,46.728,98.7948,0.4081,,,,,
,47.3,19.9962,0.4556,,,46.828,99.0067,0.4081,,,,,
,47.4,20.0376,0.4553,,,46.928,99.2177,0.4081,,,,,
,47.5,20.0809,0.4557,,,47.028,99.4297,0.4081,,,,,
,47.6,20.1227,0.4551,,,47.128,99.6419,0.4084,,,,,
,47.7,20.1652,0.4552,,,47.228,99.8527,0.4084,,,,,
,47.8,20.2077,0.4552,,,47.328,100.0648,0.4083,,,,,
,47.9,20.2496,0.4548,,,47.428,100.2768,0.4085,,,,,
,48,20.2922,0.4548,,,47.528,100.4878,0.4084,,,,,
,48.1,20.3339,0.4549,,,47.628,100.6997,0.4084,,,,,
,48.2,20.3768,0.4549,,,47.728,100.9116,0.4086,,,,,
,48.3,20.4188,0.4545,,,47.828,101.1231,0.4087,,,,,
,48.4,20.4621,0.4545,,,47.928,101.3347,0.4086,,,,,
,48.5,20.504,0.4546,,,48.028,101.5461,0.4085,,,,,
,48.6,20.546,0.4544,,,48.128,101.7581,0.4086,,,,,
,48.7,20.5886,0.4542,,,48.228,101.9701,0.4086,,,,,
,48.8,20.6302,0.4542,,,48.328,102.1811,0.4087,,,,,
,48.9,20.6734,0.4539,,,48.428,102.3928,0.4088,,,,,
,49,20.7151,0.4541,,,48.528,102.6052,0.4089,,,,,
,49.1,20.7584,0.4539,,,48.628,102.8162,0.4089,,,,,
,49.2,20.8001,0.4538,,,48.728,103.0279,0.4087,,,,,
,49.3,20.8429,0.4538,,,48.828,103.24,0.4089,,,,,
,49.4,20.8846,0.4534,,,48.928,103.4513,0.4089,,,,,
,49.5,20.9268,0.4535,,,49.028,103.6633,0.4087,,,,,
,49.6,20.9693,0.4533,,,49.128,103.8746,0.409,,,,,
,49.7,21.0114,0.4532,,,49.228,104.0861,0.409,,,,,
,49.8,21.0545,0.4535,,,49.328,104.2984,0.409,,,,,
,49.9,21.0965,0.4529,,,49.428,104.5098,0.4092,,,,,
,50,21.1393,0.4531,,,49.528,104.7211,0.4091,,,,,
,50.1,21.1812,0.4529,,,49.628,104.9335,0.4092,,,,,
,50.2,21.2235,0.4528,,,49.728,105.1446,0.4092,,,,,
,50.3,21.2658,0.4527,,,49.828,105.3561,0.4093,,,,,
,50.4,21.3076,0.4524,,,49.928,105.5683,0.4094,,,,,
,50.5,21.3508,0.4529,,,50.028,105.7799,0.4093,,,,,
,50.6,21.3925,0.4523,,,50.128,105.9912,0.4092,,,,,
,50.7,21.4356,0.4522,,,50.228,106.203,0.4095,,,,,
,50.8,21.4774,0.4524,,,50.328,106.4147,0.4096,,,,,
,50.9,21.5198,0.4521,,,50.428,106.6264,0.4096,,,,,
,51,21.562,0.4521,,,50.528,106.8381,0.4095,,,,,
,51.1,21.6042,0.452,,,50.628,107.0495,0.4096,,,,,
,51.2,21.647,0.4517,,,50.728,107.262,0.4095,,,,,
,51.3,21.6888,0.4518,,,50.828,107.4731,0.4093,,,,,
,51.4,21.7318,0.4516,,,50.928,107.6842,0.4096,,,,,
,51.5,21.7735,0.4517,,,51.028,107.8966,0.4095,,,,,
,51.6,21.8166,0.4516,,,51.128,108.1083,0.4095,,,,,
,51.7,21.8584,0.4513,,,51.228,108.3196,0.4096,,,,,
,51.8,21.9008,0.4515,,,51.328,108.5317,0.4097,,,,,
,51.9,21.9431,0.451,,,51.428,108.7428,0.4095,,,,,
,52,21.9851,0.4512,,,51.528,108.9547,0.4093,,,,,
,52.1,22.028,0.4512,,,51.628,109.1667,0.4095,,,,,
,52.2,22.0698,0.4509,,,51.728,109.3778,0.4096,,,,,
,52.3,22.1128,0.4512,,,51.828,109.5896,0.4096,,,,,
,52.4,22.1546,0.451,,,51.928,109.8018,0.4096,,,,,
,52.5,22.1975,0.4508,,,52.028,110.0127,0.4096,,,,,
,52.6,22.2395,0.4507,,,52.128,110.2246,0.4098,,,,,
,52.7,22.2817,0.4506,,,52.228,110.4367,0.4097,,,,,
,52.8,22.3241,0.4507,,,52.328,110.6478,0.4097,,,,,
,52.9,22.366,0.4505,,,52.428,110.8598,0.4097,,,,,
,53,22.4091,0.4503,,,52.528,111.0715,0.4097,,,,,
,53.1,22.451,0.4504,,,52.628,111.2832,0.4097,,,,,
,53.2,22.4939,0.4504,,,52.728,111.4948,0.4098,,,,,
,53.3,22.5359,0.4504,,,52.828,111.7062,0.4097,,,,,
,53.4,22.578,0.4501,,,52.928,111.9181,0.4097,,,,,
,53.5,22.6205,0.4502,,,53.028,112.1303,0.41,,,,,
,53.6,22.6621,0.4503,,,53.128,112.341,0.4099,,,,,
,53.7,22.7053,0.4499,,,53.228,112.5529,0.4099,,,,,
,53.8,22.747,0.4499,,,53.328,112.7653,0.4099,,,,,
,53.9,22.7904,0.45,,,53.428,112.9762,0.41,,,,,
,54,22.8321,0.4494,,,53.528,113.1877,0.41,,,,,
,54.1,22.8747,0.4499,,,53.628,113.3999,0.4103,,,,,
,54.2,22.9167,0.4494,,,53.728,113.6114,0.41,,,,,
,54.3,22.9589,0.4493,,,53.828,113.823,0.4102,,,,,
,54.4,23.0016,0.4495,,,53.928,114.0349,0.4101,,,,,
,54.5,23.0434,0.449,,,54.028,114.2462,0.4101,,,,,
,54.6,23.0867,0.4496,,,54.128,114.4584,0.4104,,,,,
,54.7,23.1281,0.4491,,,54.228,114.6696,0.4104,,,,,
,54.8,23.1713,0.449,,,54.328,114.8813,0.4102,,,,,
,54.9,23.213,0.4491,,,54.428,115.0934,0.4107,,,,,
,55,23.2554,0.4487,,,54.528,115.3049,0.4106,,,,,
,55.1,23.2975,0.4489,,,54.628,115.516,0.4105,,,,,
,55.2,23.3397,0.4487,,,54.728,115.7284,0.4106,,,,,
,55.3,23.3826,0.4485,,,54.828,115.9397,0.4107,,,,,
,55.4,23.4249,0.4486,,,54.928,116.1512,0.4108,,,,,
,55.5,23.4675,0.4485,,,55.028,116.3631,0.411,,,,,
,55.6,23.5094,0.4485,,,55.128,116.5747,0.411,,,,,
,55.7,23.5521,0.4484,,,55.228,116.7867,0.4113,,,,,
,55.8,23.5942,0.4482,,,55.328,116.998,0.4113,,,,,
,55.9,23.6361,0.4481,,,55.428,117.2094,0.411,,,,,
,56,23.679,0.448,,,55.528,117.4217,0.4111,,,,,
,56.1,23.7206,0.448,,,55.628,117.6332,0.4111,,,,,
,56.2,23.7639,0.4482,,,55.728,117.8443,0.4113,,,,,
,56.3,23.8057,0.4477,,,55.828,118.0568,0.4113,,,,,
,56.4,23.8484,0.4481,,,55.928,118.2681,0.4112,,,,,
,56.5,23.8903,0.4479,,,56.028,118.4795,0.4111,,,,,
,56.6,23.9326,0.4476,,,56.128,118.6914,0.4113,,,,,
,56.7,23.9752,0.4479,,,56.228,118.9031,0.4111,,,,,
,56.8,24.017,0.4475,,,56.328,119.1145,0.4111,,,,,
,56.9,24.06,0.4476,,,56.428,119.3268,0.4109,,,,,
,57,24.1018,0.4475,,,56.528,119.5377,0.4113,,,,,
,57.1,24.145,0.4473,,,56.628,119.7498,0.4109,,,,,
,57.2,24.1868,0.4476,,,56.728,119.9617,0.4112,,,,,
,57.3,24.2294,0.4472,,,56.828,120.1729,0.4112,,,,,
,57.4,24.2715,0.4475,,,56.928,120.3847,0.4112,,,,,
,57.5,24.3135,0.4471,,,57.028,120.5968,0.4112,,,,,
,57.6,24.3562,0.4469,,,57.128,120.808,0.4111,,,,,
,57.7,24.398,0.4468,,,57.228,121.0196,0.4113,,,,,
,57.8,24.4411,0.4465,,,57.328,121.2315,0.4115,,,,,
,57.9,24.4826,0.4467,,,57.428,121.443,0.4112,,,,,
,58,24.5259,0.4472,,,57.528,121.6549,0.4113,,,,,
,58.1,24.568,0.4467,,,57.628,121.866,0.4115,,,,,
,58.2,24.6101,0.4469,,,57.728,122.0782,0.4115,,,,,
,58.3,24.6522,0.4464,,,57.828,122.2902,0.4114,,,,,
,58.4,24.6943,0.4468,,,57.928,122.5012,0.4114,,,,,
,58.5,24.7373,0.4467,,,58.028,122.7128,0.4114,,,,,
,58.6,24.7794,0.4464,,,58.128,122.9253,0.4112,,,,,
,58.7,24.8224,0.4466,,,58.228,123.1363,0.4116,,,,,
,58.8,24.8643,0.4463,,,58.328,123.3478,0.4116,,,,,
,58.9,24.9066,0.4462,,,58.428,123.5601,0.4118,,,,,
,59,24.9489,0.4463,,,58.528,123.7714,0.4117,,,,,
,59.1,24.9906,0.4459,,,58.628,123.9828,0.4116,,,,,
,59.2,25.0335,0.446,,,58.728,124.1947,0.4117,,,,,
,59.3,25.0752,0.4457,,,58.828,124.4063,0.4119,,,,,
,59.4,25.1186,0.446,,,58.928,124.6182,0.4118,,,,,
,59.5,25.1604,0.4462,,,59.028,124.8297,0.4118,,,,,
,59.6,25.2034,0.446,,,59.128,125.0412,0.412,,,,,
,59.7,25.2449,0.4459,,,59.228,125.2536,0.4119,,,,,
,59.8,25.2873,0.4457,,,59.328,125.4646,0.412,,,,,
,59.9,25.3299,0.4454,,,59.428,125.676,0.4119,,,,,
,60,25.3717,0.4457,,,59.528,125.8884,0.4119,,,,,
,60.1,25.4147,0.4454,,,59.628,126.1,0.4121,,,,,
,60.2,25.4566,0.4457,,,59.728,126.3113,0.4121,,,,,
,60.3,25.4996,0.4453,,,59.828,126.5231,0.412,,,,,
,60.4,25.5414,0.4454,,,59.928,126.7346,0.412,,,,,
,60.5,25.584,0.4456,,,60.028,126.9467,0.4124,,,,,
,60.6,25.6257,0.445,,,60.128,127.1581,0.412,,,,,
,60.7,25.6681,0.4453,,,60.228,127.3694,0.4122,,,,,
,60.8,25.7109,0.4453,,,60.328,127.5818,0.4123,,,,,
,60.9,25.7529,0.445,,,60.428,127.7932,0.4123,,,,,
,61,25.7959,0.4451,,,60.528,128.0043,0.4123,,,,,
,61.1,25.8374,0.4448,,,60.628,128.2165,0.4123,,,,,
,61.2,25.8804,0.4454,,,60.728,128.4283,0.4123,,,,,
,61.3,25.9226,0.4448,,,60.828,128.6394,0.4123,,,,,
,61.4,25.9648,0.4451,,,60.928,128.8516,0.4123,,,,,
,61.5,26.0073,0.445,,,61.028,129.063,0.4124,,,,,
,61.6,26.0491,0.4447,,,61.128,129.2748,0.4124,,,,,
,61.7,26.0921,0.4451,,,61.228,129.4865,0.4124,,,,,
,61.8,26.1338,0.4443,,,61.328,129.698,0.4124,,,,,
,61.9,26.1768,0.4447,,,61.428,129.9099,0.4124,,,,,
,62,26.2187,0.4448,,,61.528,130.1217,0.4125,,,,,
,62.1,26.2612,0.4446,,,61.628,130.3328,0.4123,,,,,
,62.2,26.3036,0.4447,,,61.728,130.5448,0.4124,,,,,
,62.3,26.3454,0.4442,,,61.828,130.7567,0.4124,,,,,
,62.4,26.3883,0.4444,,,61.928,130.9678,0.4124,,,,,
,62.5,26.4298,0.4442,,,62.028,131.1795,0.4122,,,,,
,62.6,26.4732,0.4443,,,62.128,131.3915,0.4125,,,,,
,62.7,26.5149,0.4445,,,62.228,131.603,0.4123,,,,,
,62.8,26.5582,0.4444,,,62.328,131.8148,0.4126,,,,,
,62.9,26.5998,0.444,,,62.428,132.0261,0.4125,,,,,
,63,26.642,0.4444,,,62.528,132.2381,0.4127,,,,,
,63.1,26.6845,0.4441,,,62.628,132.4503,0.4124,,,,,
,63.2,26.7263,0.4443,,,62.728,132.6611,0.4126,,,,,
,63.3,26.7691,0.4439,,,62.828,132.8729,0.4127,,,,,
,63.4,26.8111,0.444,,,62.928,133.0854,0.4125,,,,,
,63.5,26.8543,0.4443,,,63.028,133.2963,0.4126,,,,,
,63.6,26.8963,0.4437,,,63.128,133.5077,0.4126,,,,,
,63.7,26.9386,0.444,,,63.228,133.7201,0.4127,,,,,
,63.8,26.9806,0.4438,,,63.328,133.9314,0.4128,,,,,
,63.9,27.0228,0.4439,,,63.428,134.1428,0.4124,,,,,
,64,27.0656,0.444,,,63.528,134.3547,0.4129,,,,,
,64.1,27.1074,0.4437,,,63.628,134.5665,0.4129,,,,,
,64.2,27.1509,0.4437,,,63.728,134.7783,0.4129,,,,,
,64.3,27.1923,0.4438,,,63.828,134.9895,0.4128,,,,,
,64.4,27.2352,0.4435,,,63.928,135.2013,0.413,,,,,
,64.5,27.2772,0.4435,,,64.028,135.4135,0.413,,,,,
,64.6,27.3191,0.4433,,,64.128,135.6247,0.4131,,,,,
,64.7,27.3618,0.4436,,,64.228,135.8363,0.413,,,,,
,64.8,27.4035,0.4436,,,64.328,136.0483,0.4129,,,,,
,64.9,27.4468,0.4433,,,64.428,136.2597,0.4132,,,,,
,65,27.4886,0.4434,,,64.528,136.4712,0.413,,,,,
,65.1,27.5318,0.4434,,,64.628,136.6831,0.4129,,,,,
,65.2,27.5732,0.4436,,,64.728,136.8946,0.413,,,,,
,65.3,27.6159,0.4431,,,64.828,137.1064,0.4131,,,,,
,65.4,27.658,0.4433,,,64.928,137.3182,0.4134,,,,,
