Results Table 1,,,,,,,,,,,,,,,,,,
,Specimen label,Thickness,Width,Length,Rate 1,,,,,,,,,,,,,
,,(mm),(mm),(mm),(mm/min),,,,,,,,,,,,,
1,PMMA-RT-.1,3.43,12.57,91.44,2.54,,,,,,,,,,,,,
2,PMMA-RT-1.0,3.28,12.45,91.01,25.4,,,,,,,,,,,,,
3,PMMA-50-.1,3.28,12.6,92.71,2.54,,,,,,,,,,,,,
4,PMMA-50-1.0,3.2,12.62,87.86,25.4,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Results Table 2,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
1,Time,Displacement,Force,,2,Time,Displacement,Force,,3,Time,Displacement,Force,,4,Time,Displacement,Force
,(s),(mm),(kN),,,(s),(mm),(kN),,,(s),(mm),(kN),,,(s),(mm),(kN)
,17.3,0.727,0.8608,,,10.169,4.2795,3.4303,,,17.3,0.7273,0.317,,,14.957,6.3056,1.6388
,17.4,0.7311,0.8653,,,10.269,4.3219,3.441,,,17.4,0.7324,0.3206,,,15.057,6.3489,1.6371
,17.5,0.7353,0.8693,,,10.369,4.3636,3.4511,,,17.5,0.7358,0.3238,,,15.157,6.3906,1.6347
,17.6,0.7393,0.8733,,,10.469,4.4069,3.4623,,,17.6,0.7405,0.3272,,,15.257,6.4335,1.6344
,17.7,0.7434,0.8773,,,10.569,4.4487,3.4716,,,17.7,0.7441,0.3304,,,15.357,6.4756,1.6318
,17.8,0.7477,0.8822,,,10.669,4.4919,3.4826,,,17.8,0.7488,0.3335,,,15.457,6.5176,1.6297
,17.9,0.7525,0.887,,,10.769,4.5337,3.4907,,,17.9,0.7526,0.3358,,,15.557,6.5601,1.6291
,18,0.7564,0.891,,,10.869,4.5761,3.4998,,,18,0.7573,0.3387,,,15.657,6.602,1.6282
,18.1,0.7608,0.8955,,,10.969,4.6182,3.5079,,,18.1,0.7612,0.3414,,,15.757,6.6451,1.6266
,18.2,0.7648,0.8995,,,11.069,4.66,3.5161,,,18.2,0.7659,0.3456,,,15.857,6.6871,1.6246
,18.3,0.7693,0.9041,,,11.169,4.7029,3.5238,,,18.3,0.7698,0.3483,,,15.957,6.7301,1.6234
,18.4,0.7733,0.9084,,,11.269,4.7447,3.5314,,,18.4,0.7742,0.3517,,,16.057,6.7719,1.6211
,18.5,0.7776,0.9128,,,11.369,4.788,3.5394,,,18.5,0.7783,0.3541,,,16.157,6.8139,1.6199
,18.6,0.7817,0.917,,,11.469,4.8299,3.5461,,,18.6,0.7827,0.3574,,,16.257,6.8563,1.6185
,18.7,0.7862,0.9216,,,11.569,4.8727,3.5531,,,18.7,0.7865,0.36,,,16.357,6.8983,1.6183
,18.8,0.7902,0.9256,,,11.669,4.9143,3.5585,,,18.8,0.791,0.3635,,,16.457,6.9412,1.6166
,18.9,0.7944,0.9298,,,11.769,4.9567,3.5647,,,18.9,0.7952,0.3669,,,16.557,6.983,1.6149
,19,0.7989,0.9344,,,11.869,4.9992,3.5707,,,19,0.7994,0.3701,,,16.657,7.0264,1.614
,19.1,0.803,0.9385,,,11.969,5.0413,3.5761,,,19.1,0.8036,0.3725,,,16.757,7.0682,1.6116
,19.2,0.8075,0.9429,,,12.069,5.0842,3.5811,,,19.2,0.808,0.3756,,,16.857,7.1108,1.6107
,19.3,0.8116,0.9471,,,12.169,5.126,3.5857,,,19.3,0.8122,0.3785,,,16.957,7.1527,1.6094
,19.4,0.8159,0.9516,,,12.269,5.169,3.5912,,,19.4,0.8167,0.3825,,,17.057,7.1947,1.6081
,19.5,0.8201,0.9556,,,12.369,5.211,3.5952,,,19.5,0.8205,0.3854,,,17.157,7.2375,1.6075
,19.6,0.8243,0.96,,,12.469,5.2532,3.5995,,,19.6,0.8252,0.3886,,,17.257,7.2794,1.6057
,19.7,0.8283,0.9637,,,12.569,5.2955,3.6029,,,19.7,0.8292,0.3903,,,17.357,7.3227,1.605
,19.8,0.8327,0.9682,,,12.669,5.3372,3.6063,,,19.8,0.8335,0.3941,,,17.457,7.3642,1.6026
,19.9,0.8368,0.972,,,12.769,5.3804,3.6105,,,19.9,0.8374,0.3967,,,17.557,7.4073,1.6017
,20,0.841,0.9761,,,12.869,5.4222,3.6132,,,20,0.8419,0.4006,,,17.657,7.449,1.5996
,20.1,0.8454,0.9808,,,12.969,5.4655,3.617,,,20.1,0.8458,0.4034,,,17.757,7.4914,1.5988
,20.2,0.8497,0.985,,,13.069,5.507,3.6192,,,20.2,0.8506,0.4058,,,17.857,7.5336,1.5978
,20.3,0.854,0.9894,,,13.169,5.5499,3.6224,,,20.3,0.8541,0.4075,,,17.957,7.5756,1.5959
,20.4,0.8581,0.9933,,,13.269,5.5918,3.6244,,,20.4,0.859,0.4123,,,18.057,7.6186,1.5951
,20.5,0.8624,0.9977,,,13.369,5.6343,3.6266,,,20.5,0.8629,0.4148,,,18.157,7.6605,1.5932
,20.6,0.8665,1.0016,,,13.469,5.6767,3.6282,,,20.6,0.8675,0.4182,,,18.257,7.7036,1.592
,20.7,0.8709,1.0059,,,13.569,5.7186,3.6296,,,20.7,0.8711,0.4204,,,18.357,7.7452,1.5899
,20.8,0.8747,1.0095,,,13.669,5.7615,3.6317,,,20.8,0.876,0.4234,,,18.457,7.7881,1.5897
,20.9,0.8796,1.0148,,,13.769,5.8031,3.6324,,,20.9,0.8796,0.4259,,,18.557,7.8302,1.5884
,21,0.8832,1.018,,,13.869,5.8463,3.6344,,,21,0.8843,0.43,,,18.657,7.8724,1.5868
,21.1,0.8878,1.0228,,,13.969,5.8881,3.6347,,,21.1,0.8882,0.4333,,,18.757,7.9148,1.5853
,21.2,0.8915,1.0263,,,14.069,5.9305,3.6358,,,21.2,0.8926,0.436,,,18.857,7.9568,1.584
,21.3,0.8966,1.0315,,,14.169,5.973,3.6364,,,21.3,0.8966,0.438,,,18.957,7.9997,1.5817
,21.4,0.9003,1.035,,,14.269,6.0149,3.6367,,,21.4,0.9011,0.4409,,,19.057,8.0417,1.5811
,21.5,0.9051,1.0401,,,14.369,6.0576,3.6371,,,21.5,0.9052,0.4447,,,19.157,8.0845,1.5794
,21.6,0.9085,1.0427,,,14.469,6.0995,3.6368,,,21.6,0.9098,0.4489,,,19.257,8.1265,1.5783
,21.7,0.9138,1.0486,,,14.569,6.1425,3.6379,,,21.7,0.9138,0.4508,,,19.357,8.1684,1.5768
,21.8,0.9171,1.0513,,,14.639,6.1719,3.6057,,,21.8,0.9181,0.4531,,,19.457,8.2112,1.5756
,21.9,0.9219,1.0565,,,14.64,6.1723,3.5756,,,21.9,0.9224,0.4557,,,19.557,8.2529,1.5731
,22,0.9255,1.0595,,,14.641,6.1727,3.5342,,,22,0.9265,0.4589,,,19.657,8.2961,1.5724
,22.1,0.9304,1.0648,,,14.642,6.1731,3.4825,,,22.1,0.9309,0.4637,,,19.757,8.3375,1.5695
,22.2,0.9338,1.0678,,,14.643,6.1736,3.4215,,,22.2,0.9348,0.4657,,,19.857,8.3811,1.5691
,22.3,0.9388,1.073,,,14.644,6.174,3.3525,,,22.3,0.9393,0.4685,,,19.957,8.4227,1.5671
,22.4,0.9423,1.0763,,,14.645,6.1744,3.2766,,,22.4,0.9432,0.4706,,,20.057,8.4658,1.5665
,22.5,0.9474,1.0817,,,14.646,6.1748,3.1948,,,22.5,0.9477,0.4737,,,20.157,8.5074,1.5641
,22.6,0.9512,1.0851,,,14.647,6.1753,3.1078,,,22.6,0.9516,0.4769,,,20.257,8.5497,1.563
,22.7,0.9557,1.0899,,,14.648,6.1757,3.0165,,,22.7,0.9566,0.481,,,20.357,8.5921,1.561
,22.8,0.9595,1.0934,,,14.649,6.1761,2.9216,,,22.8,0.9602,0.4828,,,20.457,8.6338,1.5588
,22.9,0.9641,1.0982,,,14.65,6.1765,2.8237,,,22.9,0.9648,0.4851,,,20.557,8.6772,1.558
,23,0.9679,1.1016,,,14.651,6.177,2.7234,,,23,0.9686,0.4882,,,20.657,8.7188,1.5569
,23.1,0.9725,1.1063,,,14.652,6.1774,2.6214,,,23.1,0.9733,0.492,,,20.757,8.7619,1.5561
,23.2,0.9764,1.11,,,14.653,6.1778,2.5181,,,23.2,0.9771,0.4941,,,20.857,8.8037,1.5545
,23.3,0.9808,1.1143,,,14.654,6.1782,2.414,,,23.3,0.9817,0.498,,,20.957,8.8461,1.5521
,23.4,0.9849,1.1184,,,14.655,6.1787,2.3097,,,23.4,0.9855,0.4997,,,21.057,8.8882,1.5507
,23.5,0.9893,1.1226,,,14.656,6.1791,2.2055,,,23.5,0.9901,0.5021,,,21.157,8.9303,1.5488
,23.6,0.9936,1.1268,,,14.657,6.1795,2.1018,,,23.6,0.9938,0.5051,,,21.257,8.9732,1.5473
,23.7,0.9981,1.1309,,,,,,,,23.7,0.9985,0.5092,,,21.357,9.0152,1.5454
,23.8,1.0021,1.1348,,,,,,,,23.8,1.0026,0.5119,,,21.457,9.0584,1.5447
,23.9,1.0064,1.1389,,,,,,,,23.9,1.0071,0.5143,,,21.557,9.1001,1.5429
,24,1.0106,1.1429,,,,,,,,24,1.0111,0.5167,,,21.657,9.1428,1.5424
,24.1,1.0148,1.1471,,,,,,,,24.1,1.0155,0.5199,,,21.757,9.1847,1.5414
,24.2,1.0189,1.1507,,,,,,,,24.2,1.0196,0.524,,,21.857,9.2267,1.5393
,24.3,1.0233,1.155,,,,,,,,24.3,1.0241,0.5259,,,21.957,9.2695,1.5375
,24.4,1.0272,1.1585,,,,,,,,24.4,1.0281,0.5283,,,22.057,9.3112,1.5349
,24.5,1.0316,1.1629,,,,,,,,24.5,1.0323,0.5306,,,22.157,9.3544,1.5328
,24.6,1.0356,1.1665,,,,,,,,24.6,1.0365,0.5336,,,22.257,9.3964,1.5316
,24.7,1.0404,1.1712,,,,,,,,24.7,1.0407,0.5378,,,22.357,9.4394,1.5305
,24.8,1.0444,1.1748,,,,,,,,24.8,1.0447,0.5399,,,22.457,9.4811,1.5285
,24.9,1.0489,1.1795,,,,,,,,24.9,1.0494,0.5425,,,22.557,9.5231,1.5269
,25,1.0525,1.1824,,,,,,,,25,1.0536,0.5452,,,22.657,9.5657,1.5258
,25.1,1.0574,1.1874,,,,,,,,25.1,1.0579,0.5479,,,22.757,9.6076,1.5232
,25.2,1.061,1.1903,,,,,,,,25.2,1.0619,0.5513,,,22.857,9.651,1.5225
,25.3,1.0657,1.1953,,,,,,,,25.3,1.0662,0.5547,,,22.957,9.6925,1.5194
,25.4,1.0693,1.1981,,,,,,,,25.4,1.0703,0.5564,,,23.057,9.7359,1.5178
,25.5,1.0742,1.2032,,,,,,,,25.5,1.0749,0.5583,,,23.157,9.7772,1.515
,25.6,1.0778,1.2062,,,,,,,,25.6,1.0786,0.5617,,,23.257,9.8201,1.5134
,25.7,1.0826,1.2113,,,,,,,,25.7,1.0833,0.5662,,,23.357,9.862,1.511
,25.8,1.0863,1.2144,,,,,,,,25.8,1.087,0.5682,,,23.457,9.9041,1.5103
,25.9,1.0914,1.2196,,,,,,,,25.9,1.0916,0.572,,,23.557,9.9468,1.5078
,26,1.095,1.2231,,,,,,,,26,1.0955,0.5726,,,23.657,9.9888,1.5059
,26.1,1.0998,1.2276,,,,,,,,26.1,1.1005,0.5752,,,23.757,10.0318,1.5013
,26.2,1.1034,1.2308,,,,,,,,26.2,1.1042,0.579,,,23.857,10.0736,1.5006
,26.3,1.1082,1.2358,,,,,,,,26.3,1.1089,0.5829,,,23.957,10.1165,1.4984
,26.4,1.1119,1.239,,,,,,,,26.4,1.1124,0.5842,,,24.057,10.1584,1.4961
,26.5,1.1165,1.2436,,,,,,,,26.5,1.1176,0.5878,,,24.157,10.2008,1.4932
,26.6,1.1203,1.247,,,,,,,,26.6,1.1211,0.5902,,,24.257,10.2433,1.4911
,26.7,1.1248,1.2516,,,,,,,,26.7,1.1259,0.5926,,,24.357,10.2852,1.4905
,26.8,1.1287,1.2546,,,,,,,,26.8,1.1293,0.5955,,,24.457,10.3279,1.487
,26.9,1.1332,1.2592,,,,,,,,26.9,1.1343,0.5985,,,24.557,10.3698,1.4845
,27,1.1376,1.2631,,,,,,,,27,1.1376,0.6004,,,24.657,10.4128,1.4816
,27.1,1.1419,1.2673,,,,,,,,27.1,1.1426,0.6034,,,24.757,10.4547,1.4789
,27.2,1.146,1.271,,,,,,,,27.2,1.1462,0.605,,,24.857,10.4972,1.4765
,27.3,1.1501,1.2745,,,,,,,,27.3,1.1514,0.6087,,,24.957,10.5395,1.4746
,27.4,1.1545,1.2787,,,,,,,,27.4,1.1549,0.6109,,,25.057,10.5814,1.4707
,27.5,1.1586,1.2821,,,,,,,,27.5,1.1597,0.6149,,,25.157,10.6242,1.4697
,27.6,1.1628,1.2862,,,,,,,,27.6,1.1631,0.6164,,,25.257,10.6658,1.4653
,27.7,1.167,1.2902,,,,,,,,27.7,1.1682,0.6192,,,25.357,10.7092,1.4638
,27.8,1.1714,1.2941,,,,,,,,27.8,1.1718,0.622,,,25.457,10.7509,1.4606
,27.9,1.1754,1.2978,,,,,,,,27.9,1.1765,0.6246,,,25.557,10.7941,1.4581
,28,1.1796,1.3018,,,,,,,,28,1.1802,0.626,,,25.657,10.836,1.454
,28.1,1.1839,1.3057,,,,,,,,28.1,1.1848,0.6296,,,25.757,10.8782,1.451
,28.2,1.1884,1.3099,,,,,,,,28.2,1.1886,0.6326,,,25.857,10.9203,1.4478
,28.3,1.1928,1.314,,,,,,,,28.3,1.1933,0.6341,,,25.957,10.9622,1.4446
,28.4,1.1967,1.3173,,,,,,,,28.4,1.1974,0.637,,,26.057,11.0054,1.4431
,28.5,1.2012,1.3217,,,,,,,,28.5,1.2019,0.6393,,,26.157,11.0471,1.4396
,28.6,1.2053,1.3253,,,,,,,,28.6,1.2058,0.6418,,,26.257,11.0903,1.438
,28.7,1.2096,1.3293,,,,,,,,28.7,1.2103,0.6453,,,26.357,11.1321,1.4345
,28.8,1.2135,1.3326,,,,,,,,28.8,1.2145,0.6478,,,26.457,11.1749,1.4314
,28.9,1.218,1.3369,,,,,,,,28.9,1.2189,0.6512,,,26.557,11.2167,1.4272
,29,1.2219,1.3402,,,,,,,,29,1.2228,0.6534,,,26.657,11.2586,1.4247
,29.1,1.2265,1.3448,,,,,,,,29.1,1.227,0.6553,,,26.757,11.3013,1.4221
,29.2,1.2304,1.348,,,,,,,,29.2,1.2311,0.6579,,,26.857,11.3433,1.4191
,29.3,1.2351,1.3527,,,,,,,,29.3,1.2354,0.6597,,,26.957,11.3866,1.4171
,29.4,1.2392,1.356,,,,,,,,29.4,1.2395,0.6619,,,27.057,11.4287,1.4142
,29.5,1.2437,1.3603,,,,,,,,29.5,1.2442,0.6651,,,27.157,11.4713,1.4116
,29.6,1.2473,1.3632,,,,,,,,29.6,1.2483,0.6687,,,27.257,11.513,1.4081
,29.7,1.252,1.368,,,,,,,,29.7,1.2526,0.6718,,,27.357,11.5553,1.4052
,29.8,1.2558,1.3711,,,,,,,,29.8,1.2565,0.6739,,,27.457,11.5977,1.4023
,29.9,1.2604,1.3753,,,,,,,,29.9,1.2611,0.6768,,,27.557,11.6397,1.3994
,30,1.2643,1.379,,,,,,,,30,1.265,0.678,,,27.657,11.6826,1.3972
,30.1,1.2687,1.3832,,,,,,,,30.1,1.2696,0.6817,,,27.757,11.7246,1.394
,30.2,1.2727,1.3866,,,,,,,,30.2,1.2732,0.6834,,,27.857,11.7678,1.393
,30.3,1.2772,1.3909,,,,,,,,30.3,1.2779,0.6862,,,27.957,11.8093,1.39
,30.4,1.2814,1.3945,,,,,,,,30.4,1.2817,0.6885,,,28.057,11.8518,1.3872
,30.5,1.2858,1.3988,,,,,,,,30.5,1.2864,0.6918,,,28.157,11.8942,1.3838
,30.6,1.29,1.4026,,,,,,,,30.6,1.2903,0.694,,,28.257,11.936,1.3811
,30.7,1.2941,1.406,,,,,,,,30.7,1.2952,0.6978,,,28.357,11.979,1.3791
,30.8,1.2986,1.4102,,,,,,,,30.8,1.2987,0.6995,,,28.457,12.0207,1.3769
,30.9,1.3026,1.4138,,,,,,,,30.9,1.3036,0.7024,,,28.557,12.064,1.3752
,31,1.307,1.4177,,,,,,,,31,1.3073,0.7039,,,28.657,12.1055,1.3723
,31.1,1.3109,1.4211,,,,,,,,31.1,1.3122,0.707,,,28.757,12.1487,1.3713
,31.2,1.3154,1.4253,,,,,,,,31.2,1.3159,0.7092,,,28.857,12.1903,1.3682
,31.3,1.3192,1.4282,,,,,,,,31.3,1.3204,0.7117,,,28.957,12.2327,1.3655
,31.4,1.3239,1.4327,,,,,,,,31.4,1.3241,0.7136,,,29.057,12.275,1.3633
,31.5,1.3277,1.4357,,,,,,,,31.5,1.3287,0.7163,,,29.157,12.317,1.3622
,31.6,1.3327,1.4407,,,,,,,,31.6,1.3326,0.7188,,,29.257,12.3601,1.3606
,31.7,1.3363,1.4432,,,,,,,,31.7,1.3371,0.7225,,,29.357,12.4017,1.3581
,31.8,1.3409,1.4478,,,,,,,,31.8,1.3414,0.7248,,,29.457,12.4447,1.3582
,31.9,1.3446,1.4506,,,,,,,,31.9,1.3457,0.7276,,,29.557,12.4867,1.3555
,32,1.3494,1.455,,,,,,,,32,1.3498,0.7293,,,29.657,12.5294,1.3538
,32.1,1.353,1.4579,,,,,,,,32.1,1.3541,0.7317,,,29.757,12.5717,1.3514
,32.2,1.3579,1.4626,,,,,,,,32.2,1.3584,0.7339,,,29.857,12.6136,1.35
,32.3,1.3614,1.4651,,,,,,,,32.3,1.3625,0.7371,,,29.957,12.6563,1.3488
,32.4,1.3663,1.4697,,,,,,,,32.4,1.3667,0.739,,,30.057,12.698,1.347
,32.5,1.3699,1.4724,,,,,,,,32.5,1.3706,0.7413,,,30.157,12.7412,1.3467
,32.6,1.3747,1.477,,,,,,,,32.6,1.3753,0.7447,,,30.257,12.7829,1.344
,32.7,1.3786,1.4802,,,,,,,,32.7,1.3791,0.7474,,,30.357,12.8258,1.3423
,32.8,1.3834,1.4847,,,,,,,,32.8,1.3837,0.7496,,,30.457,12.8678,1.341
,32.9,1.3871,1.4874,,,,,,,,32.9,1.3877,0.7516,,,30.557,12.91,1.3393
,33,1.3917,1.4917,,,,,,,,33,1.3923,0.7543,,,30.657,12.9523,1.3377
,33.1,1.3957,1.4949,,,,,,,,33.1,1.3963,0.7565,,,30.757,12.9942,1.3365
,33.2,1.4003,1.4993,,,,,,,,33.2,1.4008,0.7587,,,30.857,13.0373,1.3363
,33.3,1.4042,1.5021,,,,,,,,33.3,1.4047,0.7611,,,30.957,13.079,1.3334
,33.4,1.4085,1.506,,,,,,,,33.4,1.4095,0.7644,,,31.057,13.1224,1.3324
,33.5,1.4124,1.5096,,,,,,,,33.5,1.4134,0.7663,,,31.157,13.1641,1.3285
,33.6,1.4169,1.5134,,,,,,,,33.6,1.4175,0.7692,,,31.257,13.2067,1.3263
,33.7,1.4209,1.5168,,,,,,,,33.7,1.4215,0.7713,,,31.357,13.2488,1.3225
,33.8,1.4255,1.5209,,,,,,,,33.8,1.4261,0.7739,,,31.457,13.2908,1.3184
,33.9,1.4296,1.5242,,,,,,,,33.9,1.4301,0.7765,,,31.557,13.3336,1.3139
,34,1.434,1.5279,,,,,,,,34,1.4345,0.7785,,,31.657,13.3753,1.3053
,34.1,1.4379,1.5314,,,,,,,,34.1,1.4387,0.7806,,,31.757,13.4186,1.2942
,34.2,1.4424,1.5352,,,,,,,,34.2,1.4431,0.7834,,,31.846,13.4557,1.2741
,34.3,1.4465,1.5389,,,,,,,,34.3,1.4472,0.7859,,,31.879,13.4694,1.2483
,34.4,1.4509,1.5427,,,,,,,,34.4,1.4514,0.7877,,,31.881,13.4703,1.2243
,34.5,1.4547,1.5458,,,,,,,,34.5,1.4557,0.7905,,,31.883,13.4711,1.186
,34.6,1.4594,1.5501,,,,,,,,34.6,1.4599,0.793,,,31.884,13.4715,1.1625
,34.7,1.4631,1.5531,,,,,,,,34.7,1.4641,0.796,,,31.885,13.4719,1.1365
,34.8,1.4678,1.5574,,,,,,,,34.8,1.4682,0.7981,,,31.886,13.4723,1.1084
,34.9,1.4716,1.5603,,,,,,,,34.9,1.4725,0.7999,,,31.887,13.4728,1.0785
,35,1.4765,1.5651,,,,,,,,35,1.4767,0.8025,,,31.888,13.4732,1.0471
,35.1,1.4803,1.568,,,,,,,,35.1,1.481,0.8055,,,31.889,13.4736,1.0143
,35.2,1.485,1.5724,,,,,,,,35.2,1.4853,0.8076,,,31.89,13.474,0.9805
,35.3,1.4885,1.5749,,,,,,,,35.3,1.4895,0.8093,,,31.891,13.4745,0.9459
,35.4,1.4937,1.58,,,,,,,,35.4,1.4939,0.8111,,,31.892,13.4749,0.9107
,35.5,1.4972,1.5826,,,,,,,,35.5,1.498,0.8139,,,31.893,13.4753,0.8749
,35.6,1.502,1.5868,,,,,,,,35.6,1.5026,0.817,,,31.894,13.4757,0.839
,35.7,1.5053,1.589,,,,,,,,35.7,1.5066,0.8191,,,31.895,13.4762,0.8029
,35.8,1.5104,1.5938,,,,,,,,35.8,1.5109,0.8215,,,31.896,13.4766,0.7668
,35.9,1.5137,1.5964,,,,,,,,35.9,1.5147,0.8235,,,,,
,36,1.5187,1.6011,,,,,,,,36,1.5193,0.8262,,,,,
,36.1,1.5223,1.6035,,,,,,,,36.1,1.5231,0.8287,,,,,
,36.2,1.5274,1.6084,,,,,,,,36.2,1.5278,0.8312,,,,,
,36.3,1.531,1.6107,,,,,,,,36.3,1.5316,0.833,,,,,
,36.4,1.5356,1.6151,,,,,,,,36.4,1.5365,0.836,,,,,
,36.5,1.5394,1.6179,,,,,,,,36.5,1.5401,0.8364,,,,,
,36.6,1.5442,1.622,,,,,,,,36.6,1.5449,0.8399,,,,,
,36.7,1.5479,1.6249,,,,,,,,36.7,1.5484,0.8416,,,,,
,36.8,1.5525,1.6288,,,,,,,,36.8,1.5535,0.8446,,,,,
,36.9,1.5563,1.6316,,,,,,,,36.9,1.5569,0.8459,,,,,
,37,1.5608,1.6354,,,,,,,,37,1.5617,0.8491,,,,,
,37.1,1.5649,1.6388,,,,,,,,37.1,1.5652,0.8511,,,,,
,37.2,1.5693,1.6427,,,,,,,,37.2,1.5702,0.8545,,,,,
,37.3,1.5735,1.646,,,,,,,,37.3,1.5738,0.8552,,,,,
,37.4,1.5779,1.6498,,,,,,,,37.4,1.5787,0.8593,,,,,
,37.5,1.582,1.653,,,,,,,,37.5,1.5824,0.8609,,,,,
,37.6,1.5862,1.6563,,,,,,,,37.6,1.5872,0.8632,,,,,
,37.7,1.5907,1.6601,,,,,,,,37.7,1.5909,0.865,,,,,
,37.8,1.5947,1.6634,,,,,,,,37.8,1.5956,0.8676,,,,,
,37.9,1.5991,1.6667,,,,,,,,37.9,1.5996,0.8692,,,,,
,38,1.603,1.6699,,,,,,,,38,1.6042,0.8717,,,,,
,38.1,1.6073,1.6734,,,,,,,,38.1,1.6079,0.873,,,,,
,38.2,1.6115,1.6768,,,,,,,,38.2,1.6124,0.8764,,,,,
,38.3,1.6157,1.6801,,,,,,,,38.3,1.6162,0.8779,,,,,
,38.4,1.62,1.6838,,,,,,,,38.4,1.6208,0.8803,,,,,
,38.5,1.6245,1.6873,,,,,,,,38.5,1.6248,0.8823,,,,,
,38.6,1.6285,1.6908,,,,,,,,38.6,1.6293,0.8863,,,,,
,38.7,1.6327,1.6942,,,,,,,,38.7,1.6335,0.8877,,,,,
,38.8,1.6371,1.6978,,,,,,,,38.8,1.6378,0.89,,,,,
,38.9,1.6412,1.7007,,,,,,,,38.9,1.6418,0.8919,,,,,
,39,1.6456,1.7045,,,,,,,,39,1.6463,0.895,,,,,
,39.1,1.6494,1.7072,,,,,,,,39.1,1.6505,0.8963,,,,,
,39.2,1.6539,1.7111,,,,,,,,39.2,1.6547,0.8989,,,,,
,39.3,1.658,1.7143,,,,,,,,39.3,1.6586,0.901,,,,,
,39.4,1.6624,1.7179,,,,,,,,39.4,1.663,0.9023,,,,,
,39.5,1.6664,1.7209,,,,,,,,39.5,1.6671,0.9047,,,,,
,39.6,1.6712,1.7252,,,,,,,,39.6,1.6716,0.9056,,,,,
,39.7,1.6749,1.728,,,,,,,,39.7,1.6756,0.908,,,,,
,39.8,1.6796,1.7318,,,,,,,,39.8,1.6802,0.9105,,,,,
,39.9,1.6835,1.7349,,,,,,,,39.9,1.6841,0.9121,,,,,
,40,1.6881,1.7386,,,,,,,,40,1.6888,0.9156,,,,,
,40.1,1.6921,1.7415,,,,,,,,40.1,1.6925,0.9163,,,,,
,40.2,1.6964,1.745,,,,,,,,40.2,1.6975,0.9193,,,,,
,40.3,1.7003,1.7479,,,,,,,,40.3,1.7011,0.9208,,,,,
,40.4,1.7048,1.7519,,,,,,,,40.4,1.7058,0.9236,,,,,
,40.5,1.7088,1.7547,,,,,,,,40.5,1.7092,0.9254,,,,,
,40.6,1.7131,1.7583,,,,,,,,40.6,1.7141,0.9278,,,,,
,40.7,1.7175,1.7618,,,,,,,,40.7,1.7178,0.9299,,,,,
,40.8,1.7217,1.7652,,,,,,,,40.8,1.7227,0.9336,,,,,
,40.9,1.726,1.7687,,,,,,,,40.9,1.7262,0.9339,,,,,
,41,1.73,1.7716,,,,,,,,41,1.7312,0.9378,,,,,
,41.1,1.7345,1.7752,,,,,,,,41.1,1.7348,0.9381,,,,,
,41.2,1.7385,1.7782,,,,,,,,41.2,1.7396,0.9409,,,,,
,41.3,1.743,1.7818,,,,,,,,41.3,1.7433,0.9421,,,,,
,41.4,1.7467,1.7844,,,,,,,,41.4,1.7482,0.9443,,,,,
,41.5,1.7515,1.7885,,,,,,,,41.5,1.7517,0.9453,,,,,
,41.6,1.7552,1.7914,,,,,,,,41.6,1.7563,0.9478,,,,,
,41.7,1.7598,1.7948,,,,,,,,41.7,1.7601,0.949,,,,,
,41.8,1.7638,1.7976,,,,,,,,41.8,1.7648,0.9516,,,,,
,41.9,1.7685,1.8018,,,,,,,,41.9,1.7687,0.953,,,,,
,42,1.7723,1.8042,,,,,,,,42,1.7731,0.9551,,,,,
,42.1,1.777,1.8082,,,,,,,,42.1,1.7773,0.9571,,,,,
,42.2,1.7808,1.8111,,,,,,,,42.2,1.7817,0.9588,,,,,
,42.3,1.7857,1.8151,,,,,,,,42.3,1.7858,0.9612,,,,,
,42.4,1.7894,1.8176,,,,,,,,42.4,1.7902,0.9634,,,,,
,42.5,1.7938,1.8207,,,,,,,,42.5,1.7946,0.9654,,,,,
,42.6,1.7977,1.8239,,,,,,,,42.6,1.7986,0.9675,,,,,
,42.7,1.8022,1.8275,,,,,,,,42.7,1.8029,0.9698,,,,,
,42.8,1.8061,1.8304,,,,,,,,42.8,1.8068,0.9715,,,,,
,42.9,1.8107,1.8337,,,,,,,,42.9,1.8113,0.9736,,,,,
,43,1.8148,1.8371,,,,,,,,43,1.8153,0.9754,,,,,
,43.1,1.8192,1.8405,,,,,,,,43.1,1.8197,0.9777,,,,,
,43.2,1.8233,1.8438,,,,,,,,43.2,1.8237,0.9793,,,,,
,43.3,1.8275,1.8467,,,,,,,,43.3,1.8285,0.9817,,,,,
,43.4,1.8318,1.8502,,,,,,,,43.4,1.8323,0.9834,,,,,
,43.5,1.8361,1.8535,,,,,,,,43.5,1.8367,0.9849,,,,,
,43.6,1.8402,1.8564,,,,,,,,43.6,1.8409,0.9871,,,,,
,43.7,1.8444,1.8596,,,,,,,,43.7,1.8452,0.9888,,,,,
,43.8,1.8486,1.863,,,,,,,,43.8,1.8492,0.9908,,,,,
,43.9,1.8528,1.8659,,,,,,,,43.9,1.8535,0.9922,,,,,
,44,1.8571,1.8694,,,,,,,,44,1.8576,0.9945,,,,,
,44.1,1.8615,1.8727,,,,,,,,44.1,1.8621,0.9961,,,,,
